nsubj,correct_root,wrong_root,original_sentence,masked_sentence,bert_large_uncase,bert_base_uncase,SL,SVD,All_NN_BEF,NV_BEF,SL_BEF,Attractor,NEAR_NVD,Attractor%,
supporters,contend,contends,the supporters of the system contend that it brings about two million pounds a year into the english game which would otherwise be lost if the system were to be abandoned .,the supporters of the system [MASK] that it brings about two million pounds a year into the english game which would otherwise be lost if the system were to be abandoned .,contend,contend,32,4,1,0,5,1,1,,
proposals,include,includes,"proposals for the future sustaining use of the site include an arsenal of democracy museum , which would illustrate the many contributions made to world war ii by the automotive industry .","proposals for the future sustaining use of the site [MASK] an arsenal of democracy museum , which would illustrate the many contributions made to world war ii by the automotive industry .",include,include,32,9,3,1,9,3,1,,
winners,include,includes,past winners of the race include many of the country 's top distance runners .,past winners of the race [MASK] many of the country 's top distance runners .,include,include,15,4,1,0,5,1,1,,
composers,include,includes,"composers who wrote cadenzas for this popular concerto include beethoven ( woo 58 ) , charles  valentin alkan , johannes brahms ( woo 16 ) , johann nepomuk hummel , feruccio busoni and clara schumann .","composers who wrote cadenzas for this popular concerto [MASK] beethoven ( woo 58 ) , charles  valentin alkan , johannes brahms ( woo 16 ) , johann nepomuk hummel , feruccio busoni and clara schumann .",include,include,37,8,2,1,8,2,1,,
points,have,has,"since points belonging to a cluster have a low reachability distance to their nearest neighbor , the clusters show up as valleys in the reachability plot .","since points belonging to a cluster [MASK] a low reachability distance to their nearest neighbor , the clusters show up as valleys in the reachability plot .",have,have,27,5,1,1,6,1,1,,
collaborators,include,includes,"writing collaborators on the album include simon wilcox , hawksley workman , sarah slean , and damhnait doyle .","writing collaborators on the album [MASK] simon wilcox , hawksley workman , sarah slean , and damhnait doyle .",include,include,19,4,1,1,5,1,1,,
games,have,has,"many simulation games , such as those in the microsoft flight simulator series , have clans that follow similar patterns to other genres .","many simulation games , such as those in the microsoft flight simulator series , [MASK] clans that follow similar patterns to other genres .",have,have,24,12,4,0,14,4,2,,
proponents,deny,denies,proponents of lds fiction deny this and instead argue that expressions of the mormon culture strengthen latter  day saint ties to the church and therefore promote active faith .,proponents of lds fiction [MASK] this and instead argue that expressions of the mormon culture strengthen latter  day saint ties to the church and therefore promote active faith .,deny,deny,30,4,1,0,4,1,1,,
highlights,include,includes,"highlights of the department 's collection include several stradivari violins , a collection of asian instruments made from precious metals , and the oldest surviving piano , a 1720 model by bartolomeo cristofori .","highlights of the department 's collection [MASK] several stradivari violins , a collection of asian instruments made from precious metals , and the oldest surviving piano , a 1720 model by bartolomeo cristofori .",include,include,34,6,2,0,6,2,1,,
proponents,argue,argues,"proponents of this view argue that paul 's letters have too often been read through the lens of the protestant reformation rather than in the context of first  century second temple judaism , and therefore impose a religion of legalism on their understanding of pharisaism .","proponents of this view [MASK] that paul 's letters have too often been read through the lens of the protestant reformation rather than in the context of first  century second temple judaism , and therefore impose a religion of legalism on their understanding of pharisaism .",argue,argue,47,4,1,0,4,1,1,,
students,send,sends,starting july 2013 ap will be allowing students for the first time to view as well as send their scores online .,starting july 2013 ap will be allowing students for the first time to view as well as [MASK] their scores online .,send,send,22,10,1,3,17,1,6,,
streets,have,has,"the streets of the city have a natural grass covering , which gives it a serene , very quiet with little vehicle traffic .","the streets of the city [MASK] a natural grass covering , which gives it a serene , very quiet with little vehicle traffic .",have,have,24,4,1,0,5,1,1,,
elements,include,includes,"the elements of an active    and growing    oceanic basin include an elevated mid  ocean ridge , flanking abyssal hills leading down to abyssal plains .","the elements of an active    and growing    oceanic basin [MASK] an elevated mid  ocean ridge , flanking abyssal hills leading down to abyssal plains .",include,include,32,14,1,1,15,1,1,,
resources,allow,allows,the combined resources of its partner base allow green highways to ensure that sustainability becomes the driving force behind infrastructure development .,the combined resources of its partner base [MASK] green highways to ensure that sustainability becomes the driving force behind infrastructure development .,allow,allow,22,5,2,0,7,2,1,,
needs,require,requires,changing needs in the job market require new specialised knowledge to deal with the fluid environment hence the need for consultancy services .,changing needs in the job market [MASK] new specialised knowledge to deal with the fluid environment hence the need for consultancy services .,require,require,23,5,2,1,6,2,1,,
names,include,includes,"other names for the mountain include mount franklin , and the native american name , me  tus .","other names for the mountain [MASK] mount franklin , and the native american name , me  tus .",include,include,19,4,1,0,5,1,1,,
